user_snippet,activity,total_power_x,total_power_y,total_power_z,fft_components_x,fft_components_y,fft_components_z,thd_x,thd_y,thd_z,iqr_x,iqr_y,iqr_z,kurtosis_x,kurtosis_y,kurtosis_z,skewness_x,skewness_y,skewness_z
525_0,Jogging,94461.57269004882,224197.62584894837,45289.44807184335,[247.31        22.31054674  10.74442938],[824.44        10.34241196  10.16282781],[221.78        15.73515589   9.66839032],0.21361454902242358,0.09534138672816884,0.25430086112481115,6.97,12.2,3.5675,-0.6290818685400938,-1.3621257779984648,1.2373034404838466,-0.22705630552275272,0.05412439475789443,-1.2296159897313998
525_1,Walking,30685.823219347538,15259.330744354158,62121.96032315112,[566.93         7.4984192   15.79698103],[824.65         7.05692879   3.69934851],[122.35158437  11.52471735  13.0845727 ],0.2479491590498065,0.04288586269766514,0.28058754915935125,3.8499999999999996,3.7849999999999993,2.700234,0.13275705883771183,-0.9707452345362357,1.8744863313521556,0.1506351312615142,0.023837448133881,1.686361502113705
525_2,Jogging,199409.77213677875,221685.1266510259,137509.73371984554,[568.61        34.51767577  30.94124013],[736.43        18.5846209   50.85300245],[56.39       56.40073443  8.74162404],0.36163753384346964,0.5073427224350611,0.16169297664231497,9.787500000000001,10.4725,4.9775,-0.684078169962782,-1.05924651447009,1.4959959266154836,0.01271492213331288,0.24951436996998086,-0.6777506877570086
525_3,Jogging,61453.60584802661,273748.6675686534,47451.736342091004,[137.6          4.07293551   8.87293216],[778.99        15.16549671   8.40364036],[361.04         8.51727742  16.65697955],0.233719122124257,0.0778733042588189,0.3435838160358912,5.637499999999999,12.947499999999998,4.46,-0.1928856133869643,-1.309351349413933,-0.5651489035789639,0.19384491303527948,0.011720585624991162,-0.5977355106307601
525_4,Jogging,206441.83553617354,151818.4861530607,127187.09322996589,[583.99         4.39520419   6.22004935],[472.93         3.45896741  10.94416349],[445.67         1.98618749  21.22642041],0.07110015886830134,0.14681921623559938,0.3116769262792424,9.629999999999999,7.765000000000001,8.08,-0.9433516785713096,-0.11412340882315153,-0.4890915453080984,-0.2089697556700952,0.5421948973435571,-0.015199632464857156
525_5,Jogging,77600.58588294755,266138.86510306766,37280.589992793575,[221.69         1.30011504   3.52116595],[812.98         9.00094873  18.1265535 ],[282.12         6.47924632  11.13991111],0.07735593885180321,0.16522795291940326,0.27749281886898053,6.595000000000001,13.057500000000001,3.4675000000000002,-0.9721591454024758,-1.3935358801871864,0.3865030820800772,-0.07065634586456249,0.035028195600828316,-0.9546872560924617
525_6,Walking,13226.199059936625,19267.122067845587,26407.6676208995,[556.75         7.20392628   5.97477061],[798.15        10.26503929   1.73144031],[148.91126135  22.31481875  21.38996647],0.10154214199851755,0.020815759617169426,0.6313497628385453,2.8075,3.6100000000000003,3.452758175,-0.6631042199336292,-0.9159764298847688,1.8464949388046765,0.3619353033713955,-0.04175488295371395,1.4331139286415584
525_7,Walking,51691.37290336631,74664.52945427696,88859.89769117114,[617.94         5.58807512   9.34546637],[814.7         14.18673453   3.59088661],[158.85411616  24.93935478  35.36451607],0.13255281147913878,0.03967932008649499,0.7462088072947797,5.215,6.824999999999999,3.9499009,-0.7169638035865908,-1.1265391753087204,1.773028502859293,0.3213176139847169,-0.15531525936776522,1.6112706126359402
525_8,Walking,39006.46264408097,66910.45360379387,52712.21400444289,[119.34        11.06067094   9.91474976],[1030.57          8.44499702    1.50506084],[22.26926767 10.92128328  5.93867391],0.3166195428655893,0.013733441270107559,0.17825033379343336,3.4375,5.285,2.880703505,0.614846330940408,-0.8954149326913279,3.8207700305317003,-0.6917351127579432,-0.08508995659327247,1.9867394773014562
525_9,Walking,31919.56242401244,23546.573611766038,14700.338229679768,[693.61        95.28843797  17.43512969],[479.05        38.15500764  31.07148666],[405.91360481 126.68079879  15.31987813],0.23029020122331034,0.5779028889251785,0.290050952601326,5.029999999999999,4.209999999999999,4.67177925,-1.026333364962383,-1.0555942096520605,0.948410941942377,-0.2524931030773565,0.18847672809025243,0.1521175385313495
