user_snippet,total_power_x,total_power_y,total_power_z,thd_x,thd_y,thd_z,iqr_x,iqr_y,iqr_z,kurtosis_x,kurtosis_y,kurtosis_z,skewness_x,skewness_y,skewness_z,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum,energy_x,energy_y,energy_z,resultant_magnitude_x,resultant_magnitude_y,resultant_magnitude_z,resultant_direction,dominant_frequency,spectral_entropy,spectral_centroid,psd_mean,entropy_x,entropy_y,entropy_z
8054_0,91238.9747421956,61898.049170465776,38037.18839051782,0.0775984204172819,0.1484514611294766,0.1204190384114138,6.8425,3.9225,2.863678075,-0.5455704791991156,0.5197937670941224,1.6379042855286483,0.1378330582723534,0.7187874056394157,0.8046164195531086,880.46,8.559999999999999,8.8046,100.0,5.146707572808076,26.48859884,10.198508714513116,19.53,19.53,-1.04,517.84,4.615,5.1784,100.0,3.8064767751820057,14.489265440000002,6.426903764644371,17.24,17.24,-2.49,-6.605867290000002,-0.7627395,-0.0660586729,100.0,3.058799273179344,9.356252993602482,3.05951250068827,9.615966,9.615966,-9.152874,17.67,0.84,2.1792557,17.67,0.84,2.1792557,2.7012537380216934,1.0,-73.94615407405222,1.041107262939598,59.47545598099272,0.0,0.0,0.0
8054_1,6.042397026906642,2.9874315579392707,4.996502076621502,0.002933884277594,0.0054761065008416,0.0009160702460152,0.04,0.0399999999999995,0.0500000000000007,0.1526440813051373,-0.4750074220303206,0.579993420450692,0.024056682121236,-0.3963319893717123,-0.3469065552870371,552.8799999999999,5.52,5.528799999999999,100.0,0.0391734604036966,0.0015345599999999,5.528938777016797,5.63,5.63,5.43,251.05000000000004,2.53,2.5105000000000004,100.0,0.0283328431330142,0.0008027499999999,2.510659873419735,2.56,2.56,2.45,823.6700000000001,8.24,8.2367,100.0,0.0374447593128866,0.00140211,8.236785113137286,8.31,8.31,8.12,13.57,1.42,4.099725,13.57,1.42,4.099725,5.720286631233537,0.0,-52.62758006345581,0.805029532252842,22.16935940651041,0.0,0.0,0.0
8054_2,75467.62912669816,46021.19342810957,44096.90494547348,0.0732797753981746,0.1354459230666188,0.5122853276580392,4.697500000000001,3.7025,3.48340395,0.2252619561850872,0.1065819767191977,0.5349355478952553,0.2818804776782895,0.2471187644799145,0.4460542587773842,848.84,8.045,8.4884,100.0,4.789061853849875,22.935113439999995,9.74618120086016,19.57,19.57,-1.5,528.3299999999999,4.805,5.2833,100.0,3.656953391827684,13.373308110000004,6.42546239581246,14.29,14.29,-2.79,-7.995143741999997,-0.21111539,-0.0799514374199999,100.0,3.1788909309858577,10.105347551104131,3.1798961906719,9.656827,9.656827,-7.014479,13.8,10.0,3.255263,13.8,10.0,3.255263,35.19459628671757,0.0,-70.75355440599994,0.9023249018279323,84.01083206632042,0.0,0.0,0.0
8054_3,7.974330422047309,1.712930786513442,4.2756641090094,0.0836511317605394,0.0034745800221823,0.0633419501135264,0.05,0.0,0.0399999999999999,-0.3805345480055466,1.4970247454387762,0.2198964291223295,0.0151080031268251,0.897757465233344,-0.676454526760157,100.93,0.99,1.0093,100.0,0.0445253860174171,0.00198251,1.0102816438993634,1.12,1.12,0.89,992.36,9.92,9.9236,100.0,0.020372530525195,0.00041504,9.92362091174386,10.0,10.0,9.89,29.77,0.31,0.2977,100.0,0.0320579163390261,0.00102771,0.299421108140358,0.34,0.34,0.19,11.22,13.57,2.7513103,11.22,13.57,2.7513103,49.59159778327129,0.0,-72.85732615927732,0.8715626062535345,105.52172426120254,0.0,0.0,0.0
8054_4,65823.60911481123,45231.59616274999,52291.9865946152,0.1366570959838172,0.011027250915406,0.0998974193302722,4.210000000000001,3.52,3.1939715250000003,0.2020591554519497,0.6706103345086469,1.4312513917579173,0.0800017789209517,0.629404601578473,0.6236323653346367,845.5200000000001,7.97,8.455200000000001,100.0,4.858636121382213,23.60634496,9.751756354626586,19.57,19.57,-2.45,523.3199999999999,4.77,5.233199999999999,100.0,3.628599421264353,13.16673376,6.36813285037302,15.51,15.51,-2.83,1.757023789999997,-0.4835223399999999,0.0175702378999999,100.0,3.475728186888285,12.080686429129724,3.4757725964725577,10.310603,10.310603,-9.956474,4.48,7.27,0.42223078,4.48,7.27,0.42223078,58.24406963653326,0.0,-24.872701446974194,0.7424072839876145,17.65144701702475,0.0,0.0,0.0
8054_5,102455.40506289422,59316.12604451781,90107.62564701472,0.1809159224133364,0.1871225931132022,0.0973146102175377,6.569999999999999,5.237499999999999,6.204068375,-0.2513005314322498,-0.0912379288802007,-0.0600163684151495,0.5274185110825682,0.781832545296644,0.8321683928771985,600.28,5.09,6.0028,100.0,4.810119765660726,23.13725216,7.692259746004422,18.43,18.43,-2.49,858.8599999999999,7.59,8.5886,100.0,3.761375551576843,14.14794604,9.376139717389028,19.34,19.34,2.79,70.17203112000001,-0.6946377,0.7017203112000001,100.0,4.4085695292502445,19.435485294233725,4.464067281010038,13.484144,13.484144,-5.8976107,4.94,2.72,0.84446156,4.94,2.72,0.84446156,28.490213803128338,0.0,-14.166907577041934,0.8959400019741376,7.434161699165683,0.0,0.0,0.0
8054_6,6.266180647269934,3.186537953020813,3.5557257109805622,0.013115274860156,0.0109219714137644,0.0057134837838405,0.0700000000000002,0.0175,0.0399999999999991,0.1401303859527947,1.3644381978537463,-0.3637214090922263,0.0607274973556591,-0.0139609465760786,-0.2249520190929125,544.7699999999999,5.43,5.447699999999998,100.0,0.05120263665086,0.0026217099999999,5.447940620087557,5.56,5.56,5.28,256.25,2.56,2.5625,100.0,0.0302448342696732,0.00091475,2.562678481589136,2.64,2.64,2.45,825.3199999999998,8.24,8.253199999999998,100.0,0.0321521383425737,0.0010337599999999,8.253262627591587,8.31,8.31,8.16,4.02,5.24,1.0760075,4.02,5.24,1.0760075,51.544032859096944,0.0,-18.08751630921413,0.8796871118478974,15.585457950023436,0.0,0.0,0.0
8054_7,57305.67403380355,41317.77249469064,39171.179335296605,0.0951408789449239,0.0838319152384668,0.2892678501450474,4.8775,3.4799999999999995,2.62532199,0.2703518646938723,1.236210614696704,2.7816003164339334,0.2849141926656537,0.6751441403728915,1.1161394456015352,859.07,8.28,8.5907,100.0,4.385385788046475,19.23160851,9.645296003752296,19.57,19.57,-0.69,484.3200000000001,4.33,4.8432,100.0,3.4733873610641246,12.064419760000003,5.959950167576907,15.09,15.09,-2.96,11.509193359999998,-0.36093922,0.1150919335999999,100.0,3.145673717013324,9.895263133908422,3.147778468553371,10.760075,10.760075,-8.308413,0.93,6.13,0.84446156,0.93,6.13,0.84446156,78.41899277883003,1.0,-16.5541180379898,1.0033385444136413,18.730097502965677,0.0,0.0,0.0
8054_8,74632.50435899859,54905.44969240567,20738.656966774837,0.3331510622081435,0.2089754941231268,1.4163020670284705,5.512499999999998,3.0550000000000006,2.2269268325,-0.1082621592523827,0.4188377529448299,2.2469530195615857,0.2581155939769799,0.1869900715471793,1.1988465253932872,889.5699999999999,8.35,8.8957,100.0,4.7035234144203,22.12313251,10.062634396618014,19.57,19.57,-0.15,489.55,4.86,4.8955,100.0,3.737345414863336,13.96775075,6.159031660902548,13.67,13.67,-4.79,2.628727991999998,-0.27240697,0.0262872799199999,100.0,2.544299388501087,6.473459378327005,2.544435182788628,9.112013,9.112013,-4.5900574,0.65,4.79,0.313268,0.65,4.79,0.313268,81.43353807195089,1.0,-11.008969046992538,1.039614673680856,9.223833569926665,0.0,0.0,0.0
8054_9,64888.24821799576,43155.39477235329,29309.28493486138,0.0687759168305999,0.0930417309405286,0.4490276000724287,3.097500000000001,2.8575,2.669588205,0.7287852496953624,1.0322762511772376,3.0782797872352488,0.2043957756489758,-0.0004087225548876,0.8762952017471087,864.13,8.08,8.6413,100.0,4.477808092136152,20.05076531,9.732565489119503,19.57,19.57,-1.8,483.6700000000001,4.48,4.8367,100.0,3.469281209415,12.035912110000002,5.952275111249479,13.48,13.48,-5.13,-36.48891174,-0.36093922,-0.3648891173999999,100.0,2.7075896637017145,7.331041786984364,2.732066224486756,10.882658,10.882658,-7.1234417,17.35,0.31,1.1168685,17.35,0.31,1.1168685,1.0215058546015925,0.0,-71.52314436256461,0.959184687843706,46.3733587834551,0.0,0.0,0.0
8054_10,50929.26096276357,46866.16268289471,34964.45302020393,0.0562159095868454,0.3004567952377851,0.5306037056235682,4.4975,2.9300000000000006,3.4936193,0.2531454390328309,1.0216754109891433,0.9478654175737482,0.2297491004942063,0.469963244694048,0.8282775119985767,879.0600000000001,8.26,8.790600000000001,100.0,4.2318033555447725,17.908159639999997,9.756167690235753,19.53,19.53,-1.18,474.08,4.195,4.7408,100.0,3.5948328695504053,12.92282336,5.949622509033662,15.13,15.13,-3.95,42.917716634,-0.25197644,0.4291771663399999,100.0,3.0351675987895246,9.212242352741768,3.065360564900873,11.413852,11.413852,-5.8158884,15.51,0.72,2.4516625,15.51,0.72,2.4516625,-2.625308044367333,0.0,-62.31953571358999,0.9502107419961653,39.514237526627596,0.0,0.0,0.0
8054_11,106932.09097218372,61265.32007535093,89106.27842985194,0.1239519354678454,0.4003014176319894,0.2012175183002434,8.002500000000001,5.08,4.7535015000000005,-0.8445217891145576,0.0763009977935524,0.7763664174247236,0.4140534920097161,0.2336591875035153,0.9276749302546692,472.34,3.95,4.7234,100.0,4.825809614976538,23.28843844,6.752699164038036,15.36,15.36,-3.91,967.98,9.6,9.679800000000002,100.0,3.773911228420722,14.24240596,10.389462642504665,19.5,19.5,-1.69,65.07801983,-0.306457825,0.6507801983,100.0,4.329299743511226,18.742836269166364,4.377939142526509,14.437569,14.437569,-7.5865335,9.19,11.18,0.19068487,9.19,11.18,0.19068487,50.573623883390766,0.0,-52.96153454352895,0.7655834153694048,50.76060385680287,0.0,0.0,0.0
8054_12,17.853468232190377,10.346057881769514,6.4275997975692825,0.0286970822647822,0.035585555873271,0.0133541486441036,0.1199999999999992,0.0700000000000002,0.08,0.1407125888828044,-0.1954547780830182,1.087588458616053,-0.5779921379648738,-0.0427527483222926,0.5900061112913827,554.0600000000001,5.56,5.5406,100.0,0.082447801668692,0.0067976399999999,5.541213405022405,5.71,5.71,5.33,256.77,2.56,2.5677,100.0,0.0505342458141011,0.00255371,2.568197227628751,2.68,2.68,2.45,823.7899999999998,8.24,8.237899999999998,100.0,0.0501257418897716,0.00251259,8.23805250043965,8.43,8.43,8.12,8.96,7.67,0.08172209,8.96,7.67,0.08172209,40.56323393711176,0.0,-39.55210709378142,0.7478786919586313,25.901313767064146,0.0,0.0,0.0
8054_13,65446.07112515822,67681.37917717827,43167.46998477314,0.0469766866350879,0.2111603879501872,0.2683617599081139,5.865,4.385,3.2722885,-0.247167581007953,0.4785248786979692,0.4556290367063282,0.2219270565705251,0.3192062613378462,0.4277118304491067,886.93,8.18,8.869299999999999,100.0,4.811598955648735,23.15148451,10.09038983389641,19.57,19.57,-0.95,499.4800000000001,3.965,4.994800000000001,100.0,4.520200986681898,20.43221696,6.736486027596286,16.25,16.25,-5.13,6.006574545999997,-0.190684875,0.0600657454599999,100.0,3.265535184607105,10.66372004190696,3.2660875578717463,10.038197,10.038197,-7.8861814,7.21,5.94,2.5606253,7.21,5.94,2.5606253,37.82392495589456,0.0,-31.658957903004104,0.9521332018133507,32.176711726416706,0.0,0.0,0.0
8054_14,64027.8672151662,43910.73938259354,38631.23054027506,0.2053665960626785,0.2375279635917355,0.312137372467636,5.045,3.0974999999999997,3.319959725,0.0989965918916584,0.6967034181955856,0.5730513090749838,0.260422596282602,0.4594866377018776,0.2656890297386499,850.1199999999999,8.030000000000001,8.501199999999999,100.0,4.60858531004906,21.23905856,9.670028955489222,19.57,19.57,-1.12,504.25000000000006,4.48,5.0425,100.0,3.490797437549192,12.18566675,6.132900863376156,14.75,14.75,-3.68,24.625588816000004,-0.21111539,0.24625588816,100.0,3.029125927039916,9.175603881865428,3.0391192547050365,8.349273,8.349273,-8.049625,6.4,5.67,1.7297841,6.4,5.67,1.7297841,40.53870974813848,0.0,-26.9982798628393,0.9016349285197313,23.804459034922008,0.0,0.0,0.0
8054_15,17132.255348190163,16514.358376655236,13331.906294566612,0.344565572603102,0.0417238113883172,0.6375219909295124,1.94,5.26,1.883013045,1.9020330148234992,-0.8100287670547828,0.8392874164136299,0.7514403516779656,0.1850670570014114,-0.579688043317757,303.1,2.76,3.031,100.0,2.337451817685233,5.463681,3.827615706938198,10.99,10.99,-2.96,940.36,8.73,9.4036,100.0,3.1810169820357768,10.118869040000002,9.92706210316023,16.04,16.04,2.96,-93.51730862,-0.74230895,-0.9351730862,100.0,1.795593986827437,3.22415776553085,2.024526232648933,3.5957718,6.4015636,-6.4015636,6.28,4.6,1.4573772,6.28,4.6,1.4573772,35.50871918361,0.0,-23.404707954398884,0.8990913497494529,17.454723342283266,0.0,0.0,0.0
